Delito,Municipio,Cantidad ,Longitud,Latitud
VIOLENCIA FAMILIAR,Zuazua,117    ,-100.065,25.9466
EQUIPARABLE A LA VIOLENCIA FAMILIAR,Zuazua,22    ,-100.065,25.9466
LESIONES QUE NO PONEN EN PELIGRO LA VIDA,Zuazua,21    ,-100.065,25.9466
AMENAZAS,Zuazua,20    ,-100.065,25.9466
NARCOMENUDEO,Zuazua,18    ,-100.065,25.9466
DAÑO EN PROPIEDAD AJENA,Zuazua,16    ,-100.065,25.9466
ROBO DE VEHICULO,Zuazua,15    ,-100.065,25.9466
ABUSO SEXUAL ,Zuazua,13    ,-100.065,25.9466
HOMICIDIO DOLOSO,Zuazua,13    ,-100.065,25.9466
ABUSO DE AUTORIDAD,Zuazua,12    ,-100.065,25.9466
NARCOMENUDEO,Guadalupe,606    ,-100.2598,25.6756
VIOLENCIA FAMILIAR,Guadalupe,570    ,-100.2598,25.6756
AMENAZAS,Guadalupe,283    ,-100.2598,25.6756
DAÑO EN PROPIEDAD AJENA CULPOSO,Guadalupe,217    ,-100.2598,25.6756
LESIONES QUE NO PONEN EN PELIGRO LA VIDA,Guadalupe,185    ,-100.2598,25.6756
EQUIPARABLE A LA VIOLENCIA FAMILIAR,Guadalupe,173    ,-100.2598,25.6756
FRAUDE,Guadalupe,155    ,-100.2598,25.6756
DAÑO EN PROPIEDAD AJENA,Guadalupe,145    ,-100.2598,25.6756
ROBO SIMPLE,Guadalupe,134    ,-100.2598,25.6756
ROBO A NEGOCIO,Guadalupe,98    ,-100.2598,25.6756
VIOLENCIA FAMILIAR,Escobedo,591    ,-100.3122,25.815
AMENAZAS,Escobedo,173    ,-100.3122,25.815
EQUIPARABLE A LA VIOLENCIA FAMILIAR,Escobedo,173    ,-100.3122,25.815
LESIONES QUE NO PONEN EN PELIGRO LA VIDA,Escobedo,129    ,-100.3122,25.815
DAÑO EN PROPIEDAD AJENA CULPOSO,Escobedo,103    ,-100.3122,25.815
ROBO DE VEHICULO,Escobedo,91    ,-100.3122,25.815
FRAUDE,Escobedo,89    ,-100.3122,25.815
DAÑO EN PROPIEDAD AJENA,Escobedo,82    ,-100.3122,25.815
SUBSTRACCION DE MENORES,Escobedo,71    ,-100.3122,25.815
NARCOMENUDEO,Escobedo,70    ,-100.3122,25.815
FRAUDE,San Pedro Garza Garcia ,139    ,-100.4024,25.6604
VIOLENCIA FAMILIAR,San Pedro Garza Garcia ,108    ,-100.4024,25.6604
DAÑO EN PROPIEDAD AJENA CULPOSO,San Pedro Garza Garcia ,71    ,-100.4024,25.6604
SUPLANTACION DE IDENTIDAD,San Pedro Garza Garcia ,50    ,-100.4024,25.6604
AMENAZAS,San Pedro Garza Garcia ,34    ,-100.4024,25.6604
LESIONES QUE NO PONEN EN PELIGRO LA VIDA,San Pedro Garza Garcia ,32    ,-100.4024,25.6604
ROBO SIMPLE,San Pedro Garza Garcia ,30    ,-100.4024,25.6604
DAÑO EN PROPIEDAD AJENA,San Pedro Garza Garcia ,28    ,-100.4024,25.6604
